fold,eğitim_recall_score,validasyon_recall_score
1,0.9076923076923077,1.0
2,0.9242424242424242,1.0
3,0.8939393939393939,1.0
4,0.9393939393939394,0.8571428571428571
5,0.9242424242424242,0.7142857142857143
6,0.9242424242424242,1.0
7,0.9393939393939394,0.7142857142857143
8,0.9242424242424242,0.7142857142857143
9,0.9230769230769231,0.875
10,0.9384615384615385,0.75
