fold,eğitim_recall_score,validasyon_recall_score
1,0.9076923076923077,1.0
2,0.9242424242424242,0.8571428571428571
3,0.9090909090909091,1.0
4,0.9242424242424242,0.8571428571428571
5,0.9242424242424242,0.7142857142857143
6,0.9242424242424242,1.0
7,0.9545454545454546,0.7142857142857143
8,0.9242424242424242,0.7142857142857143
9,0.9076923076923077,0.875
10,0.9076923076923077,0.75
